"Kyoto Institute of Technology","Japan","Eastern Asia"
"Ocean University of China","China","Eastern Asia"
"Chiang Mai University","Thailand","South-Eastern Asia"
"University of Camerino","Italy","Western Europe"
"Hirosaki University","Japan","Eastern Asia"
"University of North Dakota","USA","Caribbean"
"University of Extremadura","Spain","Western Europe"
"Teikyo University","Japan","Eastern Asia"
"Jiangnan University","China","Eastern Asia"
"Adam Mickiewicz University in Poznań","Poland","Eastern Europe"
"University of Waikato","New Zealand","Oceania"
"University of Veterinary Medicine Vienna","Austria","Western Europe"
"University of Cádiz","Spain","Western Europe"
"Florida Atlantic University","USA","Caribbean"
"Huazhong Agricultural University","China","Eastern Asia"
"Brock University","Canada","Caribbean"
"University of Lleida","Spain","Western Europe"
"Shanghai Normal University","China","Eastern Asia"
"Jean Monnet University","France","Western Europe"
"Shimane University","Japan","Eastern Asia"
"University of Orléans","France","Western Europe"
"University of Siegen","Germany","Western Europe"
"Makerere University","Uganda","Eastern Africa"
"University of Wales, Trinity Saint David","United Kingdom","Western Europe"
"National Taiwan University of Science and Technology","Taiwan","Eastern Asia"
"University of Brasília","Brazil","South America"
"University of Western Brittany","France","Western Europe"
"Nanjing Agricultural University","China","Eastern Asia"
"National University of Córdoba","Argentina","South America"
"Federal University of Santa Catarina","Brazil","South America"
"National Taiwan Ocean University","Taiwan","Eastern Asia"
"Gazi University","Turkey","Western Asia"
"National University of Colombia","Colombia","South America"
"University of Jaén","Spain","Western Europe"
"Boğaziçi University","Turkey","Western Asia"
"Jadavpur University","India","Southern Asia"
"Pukyong National University","South Korea","Eastern Asia"
"University of Western Sydney","Australia","Oceania"
"Northeastern University (China)","China","Eastern Asia"
"University of Mannheim","Germany","Western Europe"
"University of Osnabrück","Germany","Western Europe"
"Charles Darwin University","Australia","Oceania"
"University of Hyderabad","India","Southern Asia"
"Northwest University (China)","China","Eastern Asia"
"University of Southern Mississippi","USA","Caribbean"
"University of Wrocław","Poland","Eastern Europe"
"Carlos III University of Madrid","Spain","Western Europe"
"Novosibirsk State University","Russia","Eastern Europe"
"Nanjing Medical University","China","Eastern Asia"
"Nicolaus Copernicus University in Toruń","Poland","Eastern Europe"
"Federal University of Santa Maria","Brazil","South America"
"Chemnitz University of Technology","Germany","Western Europe"
"Southwest University","China","Eastern Asia"
"Wrocław University of Technology","Poland","Eastern Europe"
"University of California, Merced","USA","Caribbean"
"United Arab Emirates University","United Arab Emirates","Western Asia"
"Federal University of São Carlos","Brazil","South America"
"University of Thessaly","Greece","Eastern Europe"
"University of Basilicata","Italy","Western Europe"
"Feng Chia University","Taiwan","Eastern Asia"
"Federal University of Paraná","Brazil","South America"
"University of Almería","Spain","Western Europe"
"Hallym University","South Korea","Eastern Asia"
"Fourth Military Medical University","China","Eastern Asia"
"University of the Republic (Uruguay)","Uruguay","South America"
"Dokuz Eylül University","Turkey","Western Asia"
"Nanjing University of Aeronautics and Astronautics","China","Eastern Asia"
"Public University of Navarre","Spain","Western Europe"
"University of A Coruña","Spain","Western Europe"
"Isfahan University of Technology","Iran","Southern Asia"
"University of New England (Australia)","Australia","Oceania"
"Federal University of Pernambuco","Brazil","South America"
"Jiangsu University","China","Eastern Asia"
"Third Military Medical University","China","Eastern Asia"
"South China Normal University","China","Eastern Asia"
"University of Limerick","Ireland","Western Europe"
"Xiangtan University","China","Eastern Asia"
"Yangzhou University","China","Eastern Asia"
"Northwestern Polytechnical University","China","Eastern Asia"
"University of Reims Champagne-Ardenne","France","Western Europe"
"Ibaraki University","Japan","Eastern Asia"
"Chung Shan Medical University","Taiwan","Eastern Asia"
"Alexandria University","Egypt","Northern Africa"
"Yuan Ze University","Taiwan","Eastern Asia"
"University of Cyprus","Cyprus","Western Asia"
"University of Silesia","Poland","Eastern Europe"
"Southern Medical University","China","Eastern Asia"
"Shiraz University","Iran","Southern Asia"
"University of Bucharest","Romania","Eastern Europe"
"Mansoura University","Egypt","Northern Africa"
"Amirkabir University of Technology","Iran","Southern Asia"
"Beijing Jiaotong University","China","Eastern Asia"
"University of Valenciennes and Hainaut-Cambresis","France","Western Europe"
"University of the Algarve","Portugal","Western Europe"
"University of Chemistry and Technology, Prague","Czech Republic","Eastern Europe"
"Federal University of Ceará","Brazil","South America"
"Ain Shams University","Egypt","Northern Africa"
"University of Oldenburg","Germany","Western Europe"
"Federal University of Bahia","Brazil","South America"
"Hunan Normal University","China","Eastern Asia"
"Western Michigan University","USA","Caribbean"
"University of Seoul","South Korea","Eastern Asia"
"Federico Santa María Technical University","Chile","South America"
"Ryerson University","Canada","Caribbean"
"South China Agricultural University","China","Eastern Asia"
"Fu Jen Catholic University","Taiwan","Eastern Asia"
"China Pharmaceutical University","China","Eastern Asia"
"Tarbiat Modares University","Iran","Southern Asia"
"University of Puerto Rico at Mayagüez","Puerto Rico","Caribbean"
"National University of Rosario","Argentina","South America"
"University of Pau and Pays de l'Adour","France","Western Europe"
"Xidian University","China","Eastern Asia"
"Zhejiang University of Technology","China","Eastern Asia"
"China Medical University (PRC)","China","Eastern Asia"
"Federal University of ABC","Brazil","South America"
"King Juan Carlos University","Spain","Western Europe"
"Beijing University of Technology","China","Eastern Asia"
"Guangxi University","China","Eastern Asia"
"Northwest A & F University","China","Eastern Asia"
"Shanxi University","China","Eastern Asia"
"Tamkang University","Taiwan","Eastern Asia"
"Harbin Medical University","China","Eastern Asia"
"Zhejiang Normal University","China","Eastern Asia"
"King Abdulaziz University","Saudi Arabia","Western Asia"
"Iran University of Science and Technology","Iran","Southern Asia"
"I-Shou University","Taiwan","Eastern Asia"
"University of Maine (Le Mans)","France","Western Europe"
"National Dong Hwa University","Taiwan","Eastern Asia"
"National Taipei University of Technology","Taiwan","Eastern Asia"
"Shaanxi Normal University","China","Eastern Asia"
"National University of Defense Technology","China","Eastern Asia"
"Yanbian University","China","Eastern Asia"
